那是我的台词！	That's MY line!
老師讓我重複了這句話。	The teacher made me repeat the sentence.
我們的老師要求我們保持安靜。	Our teacher demanded that we keep quiet.
老師把他的學生們聚集在他周圍。	The teacher gathered his students around him.
我們的老師警告他不要再遲到。	Our teacher warned him not to be late again.
老師要他放學後留在學校。	The teacher made him stay after school.
前幾天，東京郊外發生了件可怕的事情。	The other day something horrible happened in a Tokyo suburb.
我那天碰到了我其中的一个老朋友。	I met an old friend of mine the other day.
我前幾天遇見了他。	I met him the other day.
一個專家小組討論這個計劃。	A panel of experts discussed the plan.
這條河的水乾了。	There was no water in the river.
人們修了一座橋過河。	A bridge was built across the river.
戰爭必須不惜一切代價地去避免。	War must be avoided at all costs.
你能派人拿一些衣服，好吗？	Could you send someone up to pick up some laundry?
每一位選手都有義務遵守規則。	Every player is under obligation to keep the rules.
因為以前見過他, 所以我立刻就認出他來。	Having met him before, I recognized him at once.
請到前面來。	Move up to the front, please.
要分清是非是困難的。	To distinguish right from wrong is difficult.
最重要的是你有沒有盡全力去做。	What matters is whether you do your best or not.
我的祖父要用拐杖才能走路。	My grandfather cannot walk without a stick.
我祖父一个人的时候，有时会自言自语。	My grandfather sometimes talks to himself when he is alone.
我的外公想安静地度过晚年。	My grandfather wants to live quietly for the rest of his life.
奶奶送了我們一箱蘋果。	Grandmother sent us a box of apples.
谢谢你寄给我的一张漂亮的卡片。	Thank you for sending me a nice card.
是誰忘了把倉庫的門鎖上？	Who was it that forgot to lock the door of the warehouse?
如果我們早點開始的話，就能在午飯時間之前完成。	If we begin early, we can finish by lunch.
從清晨開始一直下雨。	It was been raining since early morning.
我听到窗外有人大叫。	I heard someone shout outside the window.
請打開窗。	Open the window.
可以幫忙關上窗子嗎？	Close the window, will you?
花園裡的草發芽了。	The grass sprouts all over the garden.
他想进一步了解他们。	He wanted to know more about the flowers.
在草原上照顧羊群的人叫甚麼？	What do you call a man who takes care of sheep in the field?
霜還沒有開始溶化。	The frost has not begun to thaw yet.
麻煩的開頭是他草率的評論。	The beginning of the trouble was his careless remark.
如果大家都懂得關心環境的話，就不會有噪音污染了。	Noise pollution could be avoided if only people were more sensitive to the environment.
我的書有過半數被昨晚的那場火災燒毀了。	More than half of my books were destroyed by the fire last night.
一張卡片被附在了禮物上。	A card was attached to the gift.
人們送禮通常都不會送錢，但是也會有例外的情況。	On gift-giving occasions, people generally avoid giving money, but there are exceptions.
我儿子现在和我一样高了。	My son is now as tall as I am.
我兒子正在忙著為明天的考試溫習。	My son is busy studying for the examinations tomorrow.
我的腳起水泡了。	I've got blisters on my feet.
他把足踝扭傷了，整整一個月不能走路。	A sprained ankle disabled him from walking for a month.
小偷從後門爬窗走進了房子裏。	The thief entered the house at the back door by the open window.
我們畢業的時候送了一個桌上時鐘給他作為謝禮。	On leaving school, we presented him with a table clock as a token of our thanks.
到了那時，我才發現自己錯了。	It was not until then that I realized my mistake.
損失高達一百萬美元。	The loss amounts to a million dollars.
村井一家已經回日本了？	The Murais have gone back to Japan?
漁人得利。	Someone else profits from the situation.
别介意别人所说的话。	Don't worry about what others say.
不要探听别人的事。	Don't pry into the affairs of others.
指著別人是不禮貌的。	It is rude to point at others.
很多經濟學家都不知道這點。	Many economists are ignorant of that fact.
很多車經過了。	Many cars passed by.
跟很多人一樣, 他喜歡假期。	In common with many people he likes holidays.
很多学生买了这本书。	Many a student bought the book.
晚飯大概已經準備好了，我們還是快點回家吧。	Dinner is probably ready, so we had better hurry home.
太平洋是世界上最大的海洋。	The Pacific is the largest ocean in the world.
太阳一出来，雾就散了。	As the sun rose, the fog disappeared.
人體能夠快速地適應氣溫的轉變。	The body quickly adjusts itself to changes in temperature.
過多會壞事，過少不濟事。	Too much spoils, too little is nothing.
借錢還得快，友情永不壞。	Short accounts make long friends.
他退休時的薪金並不高。	He wasn't earning a large salary when he retired.
記住把廚房打掃乾淨。	Don't forget to sweep the kitchen clean.
由于台风原因，很多航班被取消了。	Many flights were canceled, owing to the typhoon.
台灣菜比印度菜口味淡。	Taiwanese food is milder than Indian food.
若你住到的是大的旅館，就能使用他們的游泳池。	If you stay at a big hotel, you can use their swimming pool.
寧為貓頭不為獅尾。	Better be the head of a cat than the tail of a lion.
一個大炸彈跌了下來，並奪走了很多人的生命。	A big bomb fell, and a great many people lost their lives.
一棵大樹在暴風中倒下。	A big tree fell in the storm.
它發出巨響爆炸了。	It exploded with a loud noise.
創校人的雕像在大學校園的中心矗立著。	In the center of the university campus stands the statue of the founder.
空气污染将会威胁我们的生存。	Air pollution will be a threat to our survival.
白蘿蔔可能比紅蘿蔔貴。	Radishes might be more expensive than the carrots.
从大阪到秋田的车费是多少？	What is the fare from Osaka to Akita?
這是來自大阪中村先生的付費電話。你願意付費嗎?	This is a collect call from Mr Nakamura in Osaka. Will you accept the charge?
最重要的是馬上報警。	The important thing is to call the police at once.
你很快就會習慣的。	You'll get used to it soon.
樹不會長在草原上。	Trees do not grow on prairies.
差點就對了。	That is almost correct.
總統目前在邁阿密。	The president is presently in Miami.
真的很對不起，因為一些私人的理由，我想請你把見面日期改為三月六日。	I am very sorry that I have to ask you to change the meeting date to March 6 due to personal reasons.
大量生產降低許多商品的價格。	Mass production reduced the price of many goods.
他的第三点说明的是，埃米特试图协调现实与他的理论设计。	The third point to make is that Emmet attempted to harmonize his theory with the reality of designing.
我们处理第二个问题吧。	Let's take up the second problem, shall we?
第二次世界大战是在1939年开始的。	It was in 1939 that the Second World War broke out.
你能拿到架子上的书吗？	Can't you reach the book on the shelf?
Tani 先生與其說是學者，倒不如說是新聞工作者。	Mr Tani is not so much a scholar as a journalist.
