我們試試看！	我們 試試看 ！
你等谁来着？	你等 谁 来着 ？
我不等谁。	我 不等 谁 。
整个上午，我都在忙着打字。	整个 上午 ， 我 都 在 忙着 打字 。
昨天我打电话来的时候，你在干什么？	昨天 我 打电话 来的 时候 ， 你 在 干什么 ？
这套房子是我女儿女婿住的。	这套 房子 是 我 女儿 女婿 住的 。
你们看，窗开着，厨房门也没关！	你们 看 ， 窗 开着 ， 厨房 门 也 没关 ！
他们匆匆忙忙去看足球赛，屋里头东西都丢在那儿。	他们 匆匆忙忙 去看 足球赛 ， 屋里 头 东西 都 丢在 那儿 。
菜切好了放在那儿，不知道什么时候来做。	菜 切 好了 放在 那儿 ， 不知道 什么时候 来做 。
菜碗放得满桌都是，连吃剩下来的肉汤也没收拾好。	菜 碗 放 得 满 桌 都 是 ， 连 吃 剩下 来的 肉汤 也 没收 拾 好 。
你们看，他们书房里倒收拾得很清洁哪。	你们 看 ， 他们 书房 里 倒 收拾 得很 清洁 哪 。
书桌上一叠专业书里有几本卡通书混在里面。	书桌 上一 叠 专业 书里 有 几 本 卡通 书 混在 里面 。
正房里的家具倒不差的哩！	正房 里 的 家具 倒 不差 的 哩 ！
一套红木家具要十几万钱呢！	一套 红木 家具 要 十几万 钱 呢 ！
时间还早着呢，大家坐下来侃一会儿吧。	时间 还 早 着 呢 ， 大家 坐下 来 侃 一会儿 吧 。
茶壶里再冲点水在里面。	茶壶 里 再 冲 点 水 在 里面 。
我们坐着看电视。	我们 坐着 看电视 。
看，足球踢得正紧张呢。	看 ， 足球 踢得 正 紧张 呢 。
要等它踢完啊，有一点时间啦！	要等 它 踢 完 啊 ， 有 一点 时间 啦 ！
我们要回去啦，你托我们的事情一定留心着。	我们 要回 去 啦 ， 你 托 我们 的 事情 一定 留心 着 。
你吃饭了吗？	你 吃饭 了 吗 ？
我还没吃。	我 还没 吃 。
你今天下去锻炼了吗？	你 今天 下去 锻炼 了 吗 ？
我已经好久没有去锻炼了。	我 已经 好久 没有 去 锻炼 了 。
你吃过生鱼片吗？	你 吃过 生 鱼片 吗 ？
我在两年前吃过一次。	我 在 两年 前 吃过 一次 。
我买了菜，做好了饭，等我儿子来吃饭。	我 买了 菜 ， 做好 了 饭 ， 等我 儿子 来 吃饭 。
已经等了半个小时了。	已经 等了 半个 小时 了 。
我还请了钟点工帮忙打扫好了房间。	我 还 请 了 钟点 工 帮忙 打扫 好了 房间 。
你看，桌子上还放了一叠校样。	你 看 ， 桌子 上 还 放了 一 叠 校样 。
到现在我又打好了两篇稿子。	到 现在 我 又打 好了 两 篇 稿子 。
天好以后，我要把稿子送到出版社去。	天 好 以后 ， 我 要 把 稿子 送到 出版社 去 。
我儿子跟着小王买碟片去了。	我 儿子 跟着 小 王 买 碟片 去了 。
他去买了两回也没买到。	他 去 买了 两回 也 没 买到 。
我看他，吃了又睡，睡了又吃，游戏打了又打，懒得不得了！	我 看他 ， 吃 了 又 睡 ， 睡了 又 吃 ， 游戏 打了 又打 ， 懒得 不得了 ！
天快亮了，我要动身了。	天快 亮了 ， 我 要 动身 了 。
水快开了，泡杯茶喝了再走。	水 快 开了 ， 泡 杯 茶 喝了 再走 。
时间快要到了，你怎么还拖啊拖的。	时间 快要 到了 ， 你 怎么 还 拖 啊 拖 的 。
我要去超市，快餐面啊，酒酿团子啊，一样一样买回来。	我 要 去 超市 ， 快餐 面 啊 ， 酒酿 团子 啊 ， 一样 一样 买回 来 。
昨天我快出门的时候，他倒摇啊摇的来了。	昨天 我 快 出门 的时候 ， 他 倒 摇 啊 摇 的 来 了 。
他们上午来坐了一下，说下午就要离开上海。	他们 上午 来 坐了 一下 ， 说 下午 就 要 离开 上海 。
我想去买个优盘，你和我一起去行吗？	我 想去 买个 优 盘 ， 你 和 我 一起 去 行吗 ？
我的儿子长大了希望做医生。	我的 儿子 长大了 希望 做 医生 。
如果我这点活儿可以做完，我将在星期一去南京。	如果 我 这点 活儿 可以 做完 ， 我 将 在 星期一 去 南京 。
假如我告诉你，大家不要走来走去，你有意见吗？	假如 我 告诉 你 ， 大家 不要 走来走去 ， 你 有意 见 吗 ？
一旦我有可能，我就要跳槽。	一旦 我 有可能 ， 我 就 要 跳槽 。
参加派对的话，你会穿哪一件衣服？	参加 派对 的话 ， 你 会 穿 哪一 件 衣服 ？
今天穿了这件有点儿红的衬衫，我能走出去吗？	今天 穿 了 这件 有点儿 红的 衬衫 ， 我 能 走出 去 吗 ？
也许他不回去过春节。	也许 他 不回 去过 春节 。
我们大概去了，不过要看天气怎么样再决定。	我们 大概 去了 ， 不过 要看 天气 怎么样 再 决定 。
小姐，我想买件式样好一点的西装。	小姐 ， 我 想买 件 式样 好 一点 的 西装 。
这里一排都是进口面料欧版的西装。	这里 一排 都 是 进口 面料 欧 版 的 西装 。
这种颜色比那种稍微深一点。	这种 颜色 比 那种 稍微 深 一点 。
你看这两件做工要比那些讲究。	你 看这 两件 做工 要 比 那些 讲究 。
我看你穿稍微淡一点的颜色更加好。	我 看 你 穿 稍微 淡 一点 的 颜色 更加 好 。
我比你稍高一点，有没有比这个大一点的尺码？	我 比 你 稍高 一点 ， 有没有 比 这个 大一 点 的 尺码 ？
旁边一排衣服跟这里的衣服没什么不一样。	旁边 一排 衣服 跟 这里 的 衣服 没什么 不一样 。
深藏青比不上黑颜色好看，是不是？	深藏 青 比不上 黑 颜色 好看 ， 是不是 ？
这儿的衬衫没那儿的平整质量好。	这儿 的 衬衫 没 那儿 的 平整 质量 好 。
你看那边一件好一点吧？	你 看 那边 一件 好 一点 吧 ？
这条领带颜色亮一点，跟这件西装比较配。	这条 领带 颜色 亮 一点 ， 跟 这件 西装 比较 配 。
这些西装跟那些一样，全部打九折。	这些 西装 跟 那些 一样 ， 全部 打 九 折 。
先生小姐，你们买点什么首饰？	先生 小姐 ， 你们 买点 什么 首饰 ？
让我们线看一下再说。	让我 们 线 看一下 再说 。
现在铂金首饰非常热。	现在 铂 金 首饰 非常 热 。
小姐已经有一个戒指，要不要配一条不仅项链？	小姐 已经 有一个 戒指 ， 要不要 配 一条 不仅 项链 ？
行。你这儿有几种款式，给我看看。	行 。 你 这儿 有 几种 款式 ， 给 我 看看 。
你看我这儿一排有十二条，都很棒。	你 看 我 这儿 一排 有 十二 条 ， 都 很 棒 。
还有那边柜台里也有很多呢。	还有 那边 柜台 里 也 有 很多 呢 。
我看这条倒挺大方的。	我 看这 条 倒 挺 大方 的 。
先生眼光真好，要不要试戴一下？	先生 眼光 真好 ， 要不要 试戴 一下 ？
你看，太美啦！	你 看 ， 太 美 啦 ！
我觉得价钱太贵，再说没什么特别好看……	我 觉得 价钱 太贵 ， 再说 没什么 特别 好看 … …
要不我们到别的地方再去看看。	要不 我们 到 别的 地方 再去 看看 。
欢迎光临，小姐今天要剪发还是烫发？	欢迎光临 ， 小姐 今天 要 剪发 还是 烫发 ？
这儿烫发有游离子烫、负离子烫、直板烫、钢丝烫、玉米须烫。	这儿 烫发 有 游离 子 烫 、 负离子 烫 、 直 板 烫 、 钢丝 烫 、 玉米 须 烫 。
不用，洗一洗、吹一吹吧。	不用 ， 洗 一 洗 、 吹 一吹 吧 。
你要干洗还是湿洗？	你 要 干洗 还是 湿 洗 ？
干洗吧。	干洗 吧 。
轻一点还是重一点？	轻 一点 还是 重 一点 ？
现在正好，不重也不轻。	现在 正好 ， 不重 也 不轻 。
头还有点痒吧？如果不痒，就去冲掉它好吗？	头 还有 点 痒 吧 ？ 如果不 痒 ， 就去 冲掉 它 好吗 ？
接下去，要跟你按摩一下吗？	接下 去 ， 要跟 你 按摩 一下 吗 ？
我们还有做面膜、修眉毛、蒸面、香熏、指掐贴花、皮肤护理什么的。	我们 还有 做 面 膜 、 修 眉毛 、 蒸 面 、 香 熏 、 指 掐 贴花 、 皮肤 护理 什么 的 。
如果小姐要的话，可以打八折。	如果 小姐 要的 话 ， 可以 打 八折 。
谢谢，没时间了，我只要揉揉背和腰就好。	谢谢 ， 没 时间 了 ， 我 只要 揉 揉背 和 腰 就 好 。
欢迎光临，现在人很多，请坐下来等一等。	欢迎光临 ， 现在 人 很多 ， 请坐 下来 等一等 。
你们这儿生意最好，这么热闹！	你们 这儿 生意 最好 ， 这么 热闹 ！
你理发要长一点还是短一点？	你 理发 要 长 一点 还是 短 一点 ？
按原样儿吧，稍微短一点。	按原样 儿 吧 ， 稍微 短 一点 。
修面吗？	修面 吗 ？
你要修得整齐点儿。	你 要 修 得 整齐 点儿 。
我还要焗油和吹风。	我 还要 焗 油 和 吹风 。
吹风，你吹哪个式样？	吹风 ， 你吹 哪个 式样 ？
今天晚上你在什么地方有约会？	今天 晚上 你 在 什么地方 有约 会 ？
你脸蛋长得帅，头发理得锃亮，太有型了！	你 脸蛋 长得 帅 ， 头发 理 得 锃 亮 ， 太 有 型 了 ！
今天鸡毛菜倒挺便宜的！	今天 鸡毛 菜 倒 挺 便宜 的 ！
一点也不便宜，贵得不得了。	一点也不 便宜 ， 贵 得不 得了 。
这样烂的菜还要这么贵啊！	这样 烂 的 菜 还要 这么 贵 啊 ！
你仔细看看，太新鲜啦！	你 仔细 看看 ， 太 新鲜 啦 ！
土豆很便宜的。	土豆 很 便宜 的 。
荷兰豆盖了帽了！	荷兰 豆 盖了 帽 了 ！
阿姨，今天竹笋特新鲜，称几斤去怎么样？	阿姨 ， 今天 竹笋 特 新鲜 ， 称 几 斤 去 怎么样 ？
多少钱一斤？	多少 钱 一斤 ？
一斤四元五毛，便宜得不得了！	一斤 四 元 五 毛 ， 便宜 得不 得了 ！
这么贵，贵得没命了！贵得找不到门儿！	这么 贵 ， 贵 得 没命 了 ！ 贵 得 找 不到 门儿 ！
别瞎说啊，你看，我这儿的竹笋是最好的！	别 瞎说 啊 ， 你 看 ， 我 这儿 的 竹笋 是 最好 的 ！
是吗？那卖便宜一点算啦！	是吗 ？ 那 卖 便宜 一点 算啦 ！
不行，我不能做赔本生意。	不行 ， 我 不能 做 赔本 生意 。
好吧，好吧。你给我份量要称足。	好吧 ， 好吧 。 你 给 我 份量 要 称 足 。
好嘞！	好 嘞 ！
今天我来请客。	今天 我 来请 客 。
挑一家好吃点的饭店去吃。	挑一 家 好吃 点 的 饭店 去 吃 。
你来点菜吧。	你 来 点菜 吧 。
你们那儿什么菜最有特色	你们 那儿 什么 菜 最有 特色
我们有只烤乳鸽，吃上去又嫩又香。	我们 有 只 烤 乳鸽 ， 吃上 去 又 嫩 又 香 。
叫个清蒸鲈鱼好呢，还是蚝油牛肉好？	叫个 清蒸 鲈鱼 好 呢 ， 还是 蚝油 牛肉 好 ？
搞条活杀大黄蛇吃好吗？	搞 条 活 杀 大黄 蛇 吃 好吗 ？
叫一个腌笃鲜汤吧。	叫 一个 腌 笃 鲜 汤 吧 。
我要吃本地菜，浓油赤酱的栗子红烧肉。	我 要 吃 本地 菜 ， 浓 油 赤 酱 的 栗子 红烧 肉 。
猪蹄煮得酥一点，知道吗？	猪蹄 煮得 酥 一点 ， 知道 吗 ？
蹄筋不能炒得烂糊了，听到吗？	蹄筋 不能 炒 得 烂糊 了 ， 听到 吗 ？
肉丝切得非常细，臭豆腐干炸得非常香！	肉丝 切 得 非常 细 ， 臭 豆腐干 炸得 非常 香 ！
这只鸭子不怎么烂。	这 只 鸭子 不 怎么 烂 。
我来拿去再把它煮一下。	我 来拿去 再把 它 煮 一下 。
稍微等一等，马上就好！	稍微 等一等 ， 马上 就 好 ！
点这些小菜行啦！够吃了！	点 这些 小菜 行啦 ！ 够 吃 了 ！
饭勿要盛得满得很。	饭 勿 要 盛 得 满 得很 。
埋单！今天我付帐。	埋 单 ！ 今天 我 付帐 。
别，AA制吧！	别 ， AA制吧 ！
今天既然到了城隍庙，就要尝尝本地小吃的味道了。	今天 既然 到了 城隍 庙 ， 就 要 尝尝 本地 小吃 的 味道 了 。
这里的“南翔小笼”没治了！	这里 的 “ 南 翔 小 笼 ” 没治了 ！
听说一个精品鸡鸭血汤，鲜得没话说！	听说 一个 精品 鸡 鸭 血 汤 ， 鲜 得 没话 说 ！
那当然是这里的面筋百叶双档最最地道。	那 当然 是 这里 的 面筋 百叶 双 档 最最 地道 。
一碗绉纱馄饨，皮儿薄得连肉也看得见！	一碗 绉纱 馄饨 ， 皮 儿 薄 得 连 肉 也 看得见 ！
咖喱牛肉汤。油豆腐线粉汤不要忘记了错过吃。	咖喱 牛肉 汤 。 油 豆腐 线 粉 汤 不要 忘记了 错过 吃 。
你想吃吃桂花赤豆汤吗？	你 想吃 吃 桂花 赤豆 汤 吗 ？
你闻闻香味，五香茶叶蛋香不香？	你 闻闻 香味 ， 五香 茶叶 蛋 香 不 香 ？
你说得我馋死了！	你说 得 我 馋 死了 ！
我要吃个够再走。	我 要 吃 个 够 再走 。
上海这个地方，海内海外什么菜肴都有。	上海 这个 地方 ， 海内 海外 什么 菜肴 都 有 。
烹调方法也又是精致又集江南大成。	烹调 方法 也 又是 精致 又 集 江南 大成 。
火腿要隔水“蒸”，牛百叶只要水里一“汆”。	火腿 要 隔水 “ 蒸 ” ， 牛 百叶 只要 水里 一 “ 汆 ” 。
带鱼吃干“煎”，豆板可油“氽”。	带鱼 吃 干 “ 煎 ” ， 豆 板 可 油 “ 氽 ” 。
茭白用油“焖”，蛤蜊放在蛋里“炖”。	茭白 用 油 “ 焖 ” ， 蛤 蜊 放在 蛋 里 “ 炖 ” 。
牛肉“煠”了再“焐”，咸菜“煸”好以后再“炒”。	牛肉 “ 煠 ” 了 再 “ 焐 ” ， 咸菜 “ 煸 ” 好 以后 再 “ 炒 ” 。
苏州豆腐干，绍兴霉干菜，宁波黄泥螺，南京鸭肫干，要什么有什么。	苏州 豆腐干 ， 绍兴 霉干菜 ， 宁波 黄泥 螺 ， 南京 鸭 肫 干 ， 要 什么 有 什么 。
一到晚上，买几样蔬菜，看看电视，喝喝酒。	一到 晚上 ， 买 几样 蔬菜 ， 看看 电视 ， 喝 喝酒 。
他们，切红肠啦，拌色拉啦，煮罗宋汤啦，自己做西菜。	他们 ， 切 红肠 啦 ， 拌 色拉 啦 ， 煮 罗 宋 汤 啦 ， 自己做 西菜 。
我们则一边煮着蹄膀，一边吃着螺蛳，口里哼着沪剧，真是悠然自得！	我们 则 一边 煮 着 蹄 膀 ， 一边 吃 着 螺蛳 ， 口 里 哼着 沪剧 ， 真是 悠然自得 ！
这里小区的绿地面积有多少？	这里 小区 的 绿地 面积 有多 少 ？
占建筑总面积百分之几？	占 建筑 总面积 百分之 几 ？
有点什么公共设施？	有点 什么 公共 设施 ？
比如说，小区健身房、儿童乐园、图书馆等有吗？	比如说 ， 小区 健身房 、 儿童乐园 、 图书馆 等 有 吗 ？
小区旁边出行方便吗？	小区 旁边 出行 方便 吗 ？
比如说，我要到市中心，有什么车子可以坐吗？	比如说 ， 我 要到 市中心 ， 有 什么 车子 可以 坐 吗 ？
